Radio Controller Model,Form,Approximate Price,Advantages,Best suited for...,Link to one
RadioMaster Pocket,Compact Gamepad,$71.50,"Portable, cheap, and joysticks can be removed.",Budget and portablility,https://radiomasterrc.com/products/pocket-radio-controller-m2
Jumper T-Lite V2 (ELRS) *Discontinued and hard to find,Standard Gamepad,"€ 73,89",Feels like a gaming controller. ,People who play video games.,https://www.rotorama.com/product/jumper-t-lite-v2-elrs
RadioMaster Zorro,Premium Gamepad,$119.99,Screen and premium switches,If you want comfort. ,https://store.flitetest.com/radiomaster-zorro-4-in-1/
RadioMaster Boxer,Full-Sized Radio,$159.99,"Amazing Batery life, durable, and has really good joystick range. ","Longevity, and being able to do stunts and stuff. ",https://mpihobby.com/products/radiomaster-boxer-radio-black-version-elrs
,,,,,
My preference: RadioMaster Pocket,,,,,
* You still need to buy a reviever. ,,,,,
,,,,,
,,,,,
2.4GHz ELRS Receivers (To fit with RadioMaster Pocket),Antenna Type,Size & Weight,Key Advantage,Price,Link to one
BetaFPV SuperD ELRS,"Dual External ""T""",Small (~4g),Two revievers if one gets blocked for some reason,$23.99,https://www.racedayquads.com/products/betafpv-superd-elrs-diversity-2-4ghz-receiver?currency=USD&country=US&variant=40092320366705&stkn=ed68f1cb6bdd
RadioMaster RP2,Onboard Ceramic Loop,Ultra-Micro (< 1g),No external wires,$39.99,https://radiomasterrc.com/products/ranger-micro-2-4ghz-elrs-module
RP1 V2 ExpressLRS 2.4ghz Nano Receiver,"External ""T"" Wire",Tiny (< 3g),"Good range, cheap, flexable placement",$18.99,https://radiomasterrc.com/products/rp1-expresslrs-2-4ghz-nano-receiver
HappyModel EP1,"External ""T"" Wire",Tiny (< 2g,World's smallest one,$23.99,https://pyrodrone.com/products/happymodel-2-4g-expresslrs-ep1-tcxo-rx-receiver-module?variant=40609355726891&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
,,,,,
I chose the one in green.,,,,,
"Fits with controller, is cheap, and effective. ",,,,,
